ece-acis-dc0101.acis.ufl.edu,ece-acis-dc0101,10.244.39.100,00:50:56:1F:27:64
ece-acis-dc0102.acis.ufl.edu,ece-acis-dc0102,10.244.39.101,00:50:56:1F:27:65
ece-acis-dc0103.acis.ufl.edu,ece-acis-dc0103,10.244.39.102,00:50:56:1F:27:66
ece-acis-dc0201.acis.ufl.edu,ece-acis-dc0201,10.244.39.103,00:50:56:1F:27:67
ece-acis-dc0202.acis.ufl.edu,ece-acis-dc0202,10.244.39.104,00:50:56:1F:27:68
ece-acis-dc0203.acis.ufl.edu,ece-acis-dc0203,10.244.39.105,00:50:56:1F:27:69
ece-acis-dc0301.acis.ufl.edu,ece-acis-dc0301,10.244.39.106,00:50:56:1F:27:6a
ece-acis-dc0302.acis.ufl.edu,ece-acis-dc0302,10.244.39.107,00:50:56:1F:27:6b
ece-acis-dc0303.acis.ufl.edu,ece-acis-dc0303,10.244.39.108,00:50:56:1F:27:6c
ece-acis-dc0401.acis.ufl.edu,ece-acis-dc0401,10.244.39.109,00:50:56:1F:27:6d
ece-acis-dc0402.acis.ufl.edu,ece-acis-dc0402,10.244.39.110,00:50:56:1F:27:6e
ece-acis-dc0403.acis.ufl.edu,ece-acis-dc0403,10.244.39.111,00:50:56:1F:27:6f
ece-acis-dc0501.acis.ufl.edu,ece-acis-dc0501,10.244.39.112,00:50:56:1F:27:70
ece-acis-dc0502.acis.ufl.edu,ece-acis-dc0502,10.244.39.113,00:50:56:1F:27:71
ece-acis-dc0503.acis.ufl.edu,ece-acis-dc0503,10.244.39.114,00:50:56:1F:27:72
ece-acis-dc0601.acis.ufl.edu,ece-acis-dc0601,10.244.39.115,00:50:56:1F:27:73
ece-acis-dc0602.acis.ufl.edu,ece-acis-dc0602,10.244.39.116,00:50:56:1F:27:74
ece-acis-dc0603.acis.ufl.edu,ece-acis-dc0603,10.244.39.117,00:50:56:1F:27:75
ece-acis-dc0701.acis.ufl.edu,ece-acis-dc0701,10.244.39.118,00:50:56:1F:27:76
ece-acis-dc0702.acis.ufl.edu,ece-acis-dc0702,10.244.39.119,00:50:56:1F:27:77
ece-acis-dc0703.acis.ufl.edu,ece-acis-dc0703,10.244.39.120,00:50:56:1F:27:78
ece-acis-dc0801.acis.ufl.edu,ece-acis-dc0801,10.244.39.121,00:50:56:1F:27:79
ece-acis-dc0802.acis.ufl.edu,ece-acis-dc0802,10.244.39.122,00:50:56:1F:27:7a
ece-acis-dc0803.acis.ufl.edu,ece-acis-dc0803,10.244.39.123,00:50:56:1F:27:7b
ece-acis-dc0901.acis.ufl.edu,ece-acis-dc0901,10.244.39.124,00:50:56:1F:27:7c
ece-acis-dc0902.acis.ufl.edu,ece-acis-dc0902,10.244.39.125,00:50:56:1F:27:7d
ece-acis-dc0903.acis.ufl.edu,ece-acis-dc0903,10.244.39.126,00:50:56:1F:27:7e
ece-acis-dc1001.acis.ufl.edu,ece-acis-dc1001,10.244.39.127,00:50:56:1F:27:7f
ece-acis-dc1002.acis.ufl.edu,ece-acis-dc1002,10.244.39.128,00:50:56:1F:27:80
ece-acis-dc1003.acis.ufl.edu,ece-acis-dc1003,10.244.39.129,00:50:56:1F:27:81
ece-acis-dc1101.acis.ufl.edu,ece-acis-dc1101,10.244.39.130,00:50:56:1F:27:82
ece-acis-dc1102.acis.ufl.edu,ece-acis-dc1102,10.244.39.131,00:50:56:1F:27:83
ece-acis-dc1103.acis.ufl.edu,ece-acis-dc1103,10.244.39.132,00:50:56:1F:27:84
ece-acis-dc1201.acis.ufl.edu,ece-acis-dc1201,10.244.39.133,00:50:56:1F:27:85
ece-acis-dc1202.acis.ufl.edu,ece-acis-dc1202,10.244.39.134,00:50:56:1F:27:86
ece-acis-dc1203.acis.ufl.edu,ece-acis-dc1203,10.244.39.135,00:50:56:1F:27:87
ece-acis-dc1301.acis.ufl.edu,ece-acis-dc1301,10.244.39.136,00:50:56:1F:27:88
ece-acis-dc1302.acis.ufl.edu,ece-acis-dc1302,10.244.39.137,00:50:56:1F:27:89
ece-acis-dc1303.acis.ufl.edu,ece-acis-dc1303,10.244.39.138,00:50:56:1F:27:8a
ece-acis-dc1401.acis.ufl.edu,ece-acis-dc1401,10.244.39.139,00:50:56:1F:27:8b
ece-acis-dc1402.acis.ufl.edu,ece-acis-dc1402,10.244.39.140,00:50:56:1F:27:8c
ece-acis-dc1403.acis.ufl.edu,ece-acis-dc1403,10.244.39.141,00:50:56:1F:27:8d
ece-acis-dc1501.acis.ufl.edu,ece-acis-dc1501,10.244.39.142,00:50:56:1F:27:8e
ece-acis-dc1502.acis.ufl.edu,ece-acis-dc1502,10.244.39.143,00:50:56:1F:27:8f
ece-acis-dc1503.acis.ufl.edu,ece-acis-dc1503,10.244.39.144,00:50:56:1F:27:90
ece-acis-dc1601.acis.ufl.edu,ece-acis-dc1601,10.244.39.145,00:50:56:1F:27:91
ece-acis-dc1602.acis.ufl.edu,ece-acis-dc1602,10.244.39.146,00:50:56:1F:27:92
ece-acis-dc1603.acis.ufl.edu,ece-acis-dc1603,10.244.39.147,00:50:56:1F:27:93
ece-acis-dc1701.acis.ufl.edu,ece-acis-dc1701,10.244.39.148,00:50:56:1F:27:94
ece-acis-dc1702.acis.ufl.edu,ece-acis-dc1702,10.244.39.149,00:50:56:1F:27:95
ece-acis-dc1703.acis.ufl.edu,ece-acis-dc1703,10.244.39.150,00:50:56:1F:27:96
ece-acis-dc1801.acis.ufl.edu,ece-acis-dc1801,10.244.39.151,00:50:56:1F:27:97
ece-acis-dc1802.acis.ufl.edu,ece-acis-dc1802,10.244.39.152,00:50:56:1F:27:98
ece-acis-dc1803.acis.ufl.edu,ece-acis-dc1803,10.244.39.153,00:50:56:1F:27:99
ece-acis-dc1901.acis.ufl.edu,ece-acis-dc1901,10.244.39.154,00:50:56:1F:27:9a
ece-acis-dc1902.acis.ufl.edu,ece-acis-dc1902,10.244.39.155,00:50:56:1F:27:9b
ece-acis-dc1903.acis.ufl.edu,ece-acis-dc1903,10.244.39.156,00:50:56:1F:27:9c
ece-acis-dc2001.acis.ufl.edu,ece-acis-dc2001,10.244.39.157,00:50:56:1F:27:9d
ece-acis-dc2002.acis.ufl.edu,ece-acis-dc2002,10.244.39.158,00:50:56:1F:27:9e
ece-acis-dc2003.acis.ufl.edu,ece-acis-dc2003,10.244.39.159,00:50:56:1F:27:9f
